Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,Austria,AUT,65.7296408107652,67.5298237555511,70.4172414040229,69.9957366424278,67.3359754919555,66.5682868799072,63.4821077356217,64.5181452582515,65.1291554117646,61.149953474874,63.5339869500216,62.3668208945826,..
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,Belgium,BEL,76.5517298486238,77.2029354559562,76.3267238987047,76.335770599962,74.6335983531969,75.8721372140988,73.7478941553837,74.4986708916241,71.9773204256839,73.8914934725375,73.5368381910082,76.3911656200886,..
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,Bulgaria,BGR,46.8405214353187,46.5843053200619,46.4804821418717,46.0510855246275,50.4287231432254,48.2920065997548,43.7872348981496,40.7336104162029,35.6510921443308,35.8672954995599,37.1552195522717,..,..
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,Croatia,HRV,53.9921250907537,52.7925872225059,57.2432088297154,53.5796471362029,56.4513439453159,56.4581974948737,53.3655716951189,50.7320657637219,55.1445863040366,56.3890290376255,53.0238057331751,..,..
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,Cyprus,CYP,97.929278181471,97.8969225275336,97.7009759238474,97.7679826546901,96.9921284320967,96.8613963714625,96.6979056905392,96.3506715702671,95.9596497051175,95.1986462763843,94.3563077946247,..,..
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,Czech Republic,CZE,25.2537937080198,25.5108962494924,26.7339095053337,26.9508832992771,26.5384783687598,26.9394523115936,25.7957365126699,28.6957955882688,24.7747211159996,23.3993144029084,28.1045932984084,29.3832624951039,..
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,Denmark,DNK,-48.8441895899486,-41.3137004903924,-65.6940559285167,-45.8611627994167,-36.9942199453433,-38.7149556638364,-30.4598834787606,-19.8620224238206,-14.5419457991402,-9.09984451233134,3.45906891966251,0.444987659877872,..
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,Estonia,EST,32.5312546599081,35.517407759845,25.7687156603621,26.3189395496489,22.5226712112791,23.0256135877113,14.6217454062609,12.3132559734878,10.4453661093835,7.79022379282528,7.2269190549618,3.88481822247272,..
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,Finland,FIN,53.8700899737835,53.7977363251063,51.4554859851783,51.3636564290764,56.1691685003436,53.3027721613337,50.2740323039038,52.2337903218751,51.1946913344109,49.0907980533035,45.0414453290115,46.3284266711731,..
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,France,FRA,48.1308785194979,49.327187101174,49.3691876765746,48.8440174080264,48.9854545218662,48.490514180774,49.1741369867197,48.0749241763411,45.9799972696503,46.7037149652336,46.2144676257289,43.5791213419801,..
