"TIME","GEO","GEO_LABEL","UNIT","IPC","Value","Flag and Footnotes"
"2000","BE","Belgium","Number","Technologies or applications for mitigation or adaptation against climate change","14.732",""
"2000","BE","Belgium","Number","Capture, storage, sequestration or disposal of greenhouse gases","0.182",""
"2000","BE","Belgium","Number","CO2 capture or storage","0.182",""
"2000","BE","Belgium","Number","CO2 capture by biological separation",":",""
"2000","BE","Belgium","Number","CO2 capture by chemical separation",":",""
"2000","BE","Belgium","Per million inhabitants","Technologies or applications for mitigation or adaptation against climate change","1.439",""
"2000","BE","Belgium","Per million inhabitants","Capture, storage, sequestration or disposal of greenhouse gases","0.018",""
"2000","BE","Belgium","Per million inhabitants","CO2 capture or storage","0.018",""
"2000","BE","Belgium","Per million inhabitants","CO2 capture by biological separation",":",""
"2000","BE","Belgium","Per million inhabitants","CO2 capture by chemical separation",":",""
"2000","BE","Belgium","Per million of active population","Technologies or applications for mitigation or adaptation against climate change","3.352",""
"2000","BE","Belgium","Per million of active population","Capture, storage, sequestration or disposal of greenhouse gases","0.041",""
"2000","BE","Belgium","Per million of active population","CO2 capture or storage","0.041",""
"2000","BE","Belgium","Per million of active population","CO2 capture by biological separation",":",""
"2000","BE","Belgium","Per million of active population","CO2 capture by chemical separation",":",""
"2000","BG","Bulgaria","Number","Technologies or applications for mitigation or adaptation against climate change",":",""
"2000","BG","Bulgaria","Number","Capture, storage, sequestration or disposal of greenhouse gases",":",""
"2000","BG","Bulgaria","Number","CO2 capture or storage",":",""
"2000","BG","Bulgaria","Number","CO2 capture by biological separation",":",""
"2000","BG","Bulgaria","Number","CO2 capture by chemical separation",":",""
"2000","BG","Bulgaria","Per million inhabitants","Technologies or applications for mitigation or adaptation against climate change",":",""
"2000","BG","Bulgaria","Per million inhabitants","Capture, storage, sequestration or disposal of greenhouse gases",":",""
"2000","BG","Bulgaria","Per million inhabitants","CO2 capture or storage",":",""
"2000","BG","Bulgaria","Per million inhabitants","CO2 capture by biological separation",":",""
"2000","BG","Bulgaria","Per million inhabitants","CO2 capture by chemical separation",":",""
"2000","BG","Bulgaria","Per million of active population","Technologies or applications for mitigation or adaptation against climate change",":",""
"2000","BG","Bulgaria","Per million of active population","Capture, storage, sequestration or disposal of greenhouse gases",":",""
"2000","BG","Bulgaria","Per million of active population","CO2 capture or storage",":",""
"2000","BG","Bulgaria","Per million of active population","CO2 capture by biological separation",":",""
"2000","BG","Bulgaria","Per million of active population","CO2 capture by chemical separation",":",""
"2000","CZ","Czech Republic","Number","Technologies or applications for mitigation or adaptation against climate change",":",""
"2000","CZ","Czech Republic","Number","Capture, storage, sequestration or disposal of greenhouse gases",":",""
"2000","CZ","Czech Republic","Number","CO2 capture or storage",":",""
"2000","CZ","Czech Republic","Number","CO2 capture by biological separation",":",""
"2000","CZ","Czech Republic","Number","CO2 capture by chemical separation",":",""
"2000","CZ","Czech Republic","Per million inhabitants","Technologies or applications for mitigation or adaptation against climate change",":",""
"2000","CZ","Czech Republic","Per million inhabitants","Capture, storage, sequestration or disposal of greenhouse gases",":",""
"2000","CZ","Czech Republic","Per million inhabitants","CO2 capture or storage",":",""
"2000","CZ","Czech Republic","Per million inhabitants","CO2 capture by biological separation",":",""
"2000","CZ","Czech Republic","Per million inhabitants","CO2 capture by chemical separation",":",""
"2000","CZ","Czech Republic","Per million of active population","Technologies or applications for mitigation or adaptation against climate change",":",""
"2000","CZ","Czech Republic","Per million of active population","Capture, storage, sequestration or disposal of greenhouse gases",":",""
"2000","CZ","Czech Republic","Per million of active population","CO2 capture or storage",":",""
"2000","CZ","Czech Republic","Per million of active population","CO2 capture by biological separation",":",""
"2000","CZ","Czech Republic","Per million of active population","CO2 capture by chemical separation",":",""
"2000","DK","Denmark","Number","Technologies or applications for mitigation or adaptation against climate change","30.417",""
"2000","DK","Denmark","Number","Capture, storage, sequestration or disposal of greenhouse gases",":",""
"2000","DK","Denmark","Number","CO2 capture or storage",":",""
"2000","DK","Denmark","Number","CO2 capture by biological separation",":",""
"2000","DK","Denmark","Number","CO2 capture by chemical separation",":",""
"2000","DK","Denmark","Per million inhabitants","Technologies or applications for mitigation or adaptation against climate change","5.707",""
"2000","DK","Denmark","Per million inhabitants","Capture, storage, sequestration or disposal of greenhouse gases",":",""
"2000","DK","Denmark","Per million inhabitants","CO2 capture or storage",":",""
"2000","DK","Denmark","Per million inhabitants","CO2 capture by biological separation",":",""
"2000","DK","Denmark","Per million inhabitants","CO2 capture by chemical separation",":",""
"2000","DK","Denmark","Per million of active population","Technologies or applications for mitigation or adaptation against climate change","10.726",""
"2000","DK","Denmark","Per million of active population","Capture, storage, sequestration or disposal of greenhouse gases",":",""
"2000","DK","Denmark","Per million of active population","CO2 capture or storage",":",""
"2000","DK","Denmark","Per million of active population","CO2 capture by biological separation",":",""
"2000","DK","Denmark","Per million of active population","CO2 capture by chemical separation",":",""
"2000","DE","Germany (until 1990 former territory of the FRG)","Number","Technologies or applications for mitigation or adaptation against climate change","371.233",""
"2000","DE","Germany (until 1990 former territory of the FRG)","Number","Capture, storage, sequestration or disposal of greenhouse gases","17.15",""
"2000","DE","Germany (until 1990 former territory of the FRG)","Number","CO2 capture or storage","9.15",""
"2000","DE","Germany (until 1990 former territory of the FRG)","Number","CO2 capture by biological separation",":",""
"2000","DE","Germany (until 1990 former territory of the FRG)","Number","CO2 capture by chemical separation","1",""
"2000","DE","Germany (until 1990 former territory of the FRG)","Per million inhabitants","Technologies or applications for mitigation or adaptation against climate change","4.518",""
"2000","DE","Germany (until 1990 former territory of the FRG)","Per million inhabitants","Capture, storage, sequestration or disposal of greenhouse gases","0.209",""
"2000","DE","Germany (until 1990 former territory of the FRG)","Per million inhabitants","CO2 capture or storage","0.111",""
"2000","DE","Germany (until 1990 former territory of the FRG)","Per million inhabitants","CO2 capture by biological separation",":",""
"2000","DE","Germany (until 1990 former territory of the FRG)","Per million inhabitants","CO2 capture by chemical separation","0.012",""
"2000","DE","Germany (until 1990 former territory of the FRG)","Per million of active population","Technologies or applications for mitigation or adaptation against climate change","9.379",""
"2000","DE","Germany (until 1990 former territory of the FRG)","Per million of active population","Capture, storage, sequestration or disposal of greenhouse gases","0.433",""
"2000","DE","Germany (until 1990 former territory of the FRG)","Per million of active population","CO2 capture or storage","0.231",""
"2000","DE","Germany (until 1990 former territory of the FRG)","Per million of active population","CO2 capture by biological separation",":",""
"2000","DE","Germany (until 1990 former territory of the FRG)","Per million of active population","CO2 capture by chemical separation","0.025",""
"2000","EE","Estonia","Number","Technologies or applications for mitigation or adaptation against climate change","0.167",""
"2000","EE","Estonia","Number","Capture, storage, sequestration or disposal of greenhouse gases",":",""
"2000","EE","Estonia","Number","CO2 capture or storage",":",""
"2000","EE","Estonia","Number","CO2 capture by biological separation",":",""
"2000","EE","Estonia","Number","CO2 capture by chemical separation",":",""
"2000","EE","Estonia","Per million inhabitants","Technologies or applications for mitigation or adaptation against climate change","0.119",""
"2000","EE","Estonia","Per million inhabitants","Capture, storage, sequestration or disposal of greenhouse gases",":",""
"2000","EE","Estonia","Per million inhabitants","CO2 capture or storage",":",""
"2000","EE","Estonia","Per million inhabitants","CO2 capture by biological separation",":",""
"2000","EE","Estonia","Per million inhabitants","CO2 capture by chemical separation",":",""
"2000","EE","Estonia","Per million of active population","Technologies or applications for mitigation or adaptation against climate change","0.243",""
"2000","EE","Estonia","Per million of active population","Capture, storage, sequestration or disposal of greenhouse gases",":",""
"2000","EE","Estonia","Per million of active population","CO2 capture or storage",":",""
"2000","EE","Estonia","Per million of active population","CO2 capture by biological separation",":",""
"2000","EE","Estonia","Per million of active population","CO2 capture by chemical separation",":",""
"2000","IE","Ireland","Number","Technologies or applications for mitigation or adaptation against climate change","4.5",""
"2000","IE","Ireland","Number","Capture, storage, sequestration or disposal of greenhouse gases",":",""
"2000","IE","Ireland","Number","CO2 capture or storage",":",""
"2000","IE","Ireland","Number","CO2 capture by biological separation",":",""
"2000","IE","Ireland","Number","CO2 capture by chemical separation",":",""
"2000","IE","Ireland","Per million inhabitants","Technologies or applications for mitigation or adaptation against climate change","1.191",""
"2000","IE","Ireland","Per million inhabitants","Capture, storage, sequestration or disposal of greenhouse gases",":",""
"2000","IE","Ireland","Per million inhabitants","CO2 capture or storage",":",""
"2000","IE","Ireland","Per million inhabitants","CO2 capture by biological separation",":",""
"2000","IE","Ireland","Per million inhabitants","CO2 capture by chemical separation",":",""
