Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Austria,AUT,41944.7623333665,42348.811423418,42838.7686413965,42952.9479750838,43842.2955191408,44476.7796885842,45740.2390421884,47243.3404520182,47824.3748925507,45887.1306214419,46659.8408181344,47808.6234915203,47951.5567754438,47825.4338414648,47644.9856780566,47667.8056099499
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Belgium,BEL,40242.3136703568,40429.5681695996,40965.3501576912,41110.176581926,42420.4609947206,43071.2706528135,43857.5993094293,45015.8668409037,44995.3215017999,43614.8920476994,44382.8797683492,44558.1095006743,44305.9581527407,44091.0970289484,44469.8328578278,44863.0881823005
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Bulgaria,BGR,3957.92661992166,4203.17174827287,4542.10008378269,4800.1239832586,5142.66751714824,5544.19997734205,5950.03364704544,6537.21043359923,6955.01495849127,6704.58987824207,6752.55217774882,6903.63733800774,6960.20245467405,7088.98676038181,7239.90014316151,7502.43614329704
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Croatia,HRV,10572.831828554,10901.4629149945,11473.4053901626,12111.0865955465,12608.3990630035,13124.5228211397,13758.7419438323,14480.3632113328,14782.6699828716,13707.9349058824,13509.1858157682,13902.8312028813,13640.3454912955,13532.8607850919,13539.1222349706,13807.3471951525
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Cyprus,CYP,27047.8372429405,27714.7436402428,28281.3553469254,28718.7368469177,29578.1343192141,30281.5096846239,31125.6244992151,31973.3516508005,32319.4004641085,30824.9493545846,30438.9001948061,29792.0892718589,28623.2964001098,26985.9957482791,26603.3470527108,27377.2027051465
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Czech Republic,CZE,14766.9183037721,15274.8167762857,15556.3648708903,16121.2939886577,16913.7395024413,17978.4808480158,19162.8166484448,20104.7173367684,20479.1839994809,19376.9148120796,19763.9637984737,20111.022326111,19902.093818532,19790.4112086833,20160.6601967281,20955.504704511
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Denmark,DNK,55898.4725573474,56157.0238773126,56238.9196635965,56304.9390154426,57641.6415335306,58883.9471916098,60919.0821429126,61149.530147949,60354.8462233027,56978.3339740194,57647.668762065,58072.2536964567,57811.7346806697,57430.8717745466,57861.4617803304,58207.8989741455
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Estonia,EST,10090.0361414567,10797.1568380418,11526.0163091503,12458.7590453743,13322.4104298013,14654.8417597262,16255.7381727763,17595.3509408194,16686.4594105446,14256.9343283753,14641.4031443742,15799.5711195898,16677.9874474318,16999.8578065079,17539.9042082876,17761.6164796084
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Finland,FIN,40452.7817520762,41402.4084947568,41996.189286933,42731.5685130833,44280.4789637565,45355.9602901481,47014.4566278855,49242.1256125369,49366.6362645812,45068.4366669327,46205.1660111855,47173.8305830842,46280.3116050423,45718.368682964,45211.747829403,45288.6280426769
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,France,FRA,38524.5051197802,38992.6269438912,39143.0451650002,39185.1135537841,39981.4987590109,40319.2099940731,40989.9926574889,41699.1735183215,41547.7670146856,40118.7680187835,40705.7662299421,41351.6528296788,41227.1835155204,41268.4606253644,41049.6007437367,41329.9233391673
