Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Profit tax (% of commercial profits),IC.TAX.PRFT.CP.ZS,Austria,AUT,..,..,..,..,..,..,..,..,..,..,..,..,..,15,15.4,16.8
Profit tax (% of commercial profits),IC.TAX.PRFT.CP.ZS,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,..,..,5.4,6.5,8.4
Profit tax (% of commercial profits),IC.TAX.PRFT.CP.ZS,Bulgaria,BGR,..,..,..,..,..,..,..,..,..,..,..,..,..,4.8,5,5
Profit tax (% of commercial profits),IC.TAX.PRFT.CP.ZS,Cyprus,CYP,..,..,..,..,..,..,..,..,..,..,..,..,..,9,9.6,9.3
Profit tax (% of commercial profits),IC.TAX.PRFT.CP.ZS,Croatia,HRV,..,..,..,..,..,..,..,..,..,..,..,..,..,11.3,0,0
Profit tax (% of commercial profits),IC.TAX.PRFT.CP.ZS,Czech Republic,CZE,..,..,..,..,..,..,..,..,..,..,..,..,..,7.5,7.6,9.5
Profit tax (% of commercial profits),IC.TAX.PRFT.CP.ZS,Denmark,DNK,..,..,..,..,..,..,..,..,..,..,..,..,..,20,20.3,18.7
Profit tax (% of commercial profits),IC.TAX.PRFT.CP.ZS,Estonia,EST,..,..,..,..,..,..,..,..,..,..,..,..,..,8,8.4,8.4
Profit tax (% of commercial profits),IC.TAX.PRFT.CP.ZS,Finland,FIN,..,..,..,..,..,..,..,..,..,..,..,..,..,15,14.5,11.8
Profit tax (% of commercial profits),IC.TAX.PRFT.CP.ZS,France,FRA,..,..,..,..,..,..,..,..,..,..,..,..,..,8.2,7.4,0.5
Profit tax (% of commercial profits),IC.TAX.PRFT.CP.ZS,Germany,DEU,..,..,..,..,..,..,..,..,..,..,..,..,..,18.9,23.3,23.2
Profit tax (% of commercial profits),IC.TAX.PRFT.CP.ZS,Greece,GRC,..,..,..,..,..,..,..,..,..,..,..,..,..,11,18.2,19.7
Profit tax (% of commercial profits),IC.TAX.PRFT.CP.ZS,Hungary,HUN,..,..,..,..,..,..,..,..,..,..,..,..,..,12.3,11.8,11.8
Profit tax (% of commercial profits),IC.TAX.PRFT.CP.ZS,Ireland,IRL,..,..,..,..,..,..,..,..,..,..,..,..,..,11.9,12.4,12.4
Profit tax (% of commercial profits),IC.TAX.PRFT.CP.ZS,Italy,ITA,..,..,..,..,..,..,..,..,..,..,..,..,..,22.9,19.9,19.5
Profit tax (% of commercial profits),IC.TAX.PRFT.CP.ZS,Latvia,LVA,..,..,..,..,..,..,..,..,..,..,..,..,..,4.8,4.9,6.3
Profit tax (% of commercial profits),IC.TAX.PRFT.CP.ZS,Lithuania,LTU,..,..,..,..,..,..,..,..,..,..,..,..,..,5.9,6.1,5.9
Profit tax (% of commercial profits),IC.TAX.PRFT.CP.ZS,Luxembourg,LUX,..,..,..,..,..,..,..,..,..,..,..,..,..,4.1,4.2,4.2
Profit tax (% of commercial profits),IC.TAX.PRFT.CP.ZS,Malta,MLT,..,..,..,..,..,..,..,..,..,..,..,..,..,30.3,30.3,30.1
Profit tax (% of commercial profits),IC.TAX.PRFT.CP.ZS,Netherlands,NLD,..,..,..,..,..,..,..,..,..,..,..,..,..,20.6,21.1,20.4
Profit tax (% of commercial profits),IC.TAX.PRFT.CP.ZS,Poland,POL,..,..,..,..,..,..,..,..,..,..,..,..,..,17.4,13.1,14.5
Profit tax (% of commercial profits),IC.TAX.PRFT.CP.ZS,Portugal,PRT,..,..,..,..,..,..,..,..,..,..,..,..,..,14.5,15.1,13.6
Profit tax (% of commercial profits),IC.TAX.PRFT.CP.ZS,Romania,ROM,..,..,..,..,..,..,..,..,..,..,..,..,..,10.5,10.7,10.9
Profit tax (% of commercial profits),IC.TAX.PRFT.CP.ZS,Slovak Republic,SVK,..,..,..,..,..,..,..,..,..,..,..,..,..,6.8,8.5,10.5
Profit tax (% of commercial profits),IC.TAX.PRFT.CP.ZS,Slovenia,SVN,..,..,..,..,..,..,..,..,..,..,..,..,..,14.1,12.5,12.7
Profit tax (% of commercial profits),IC.TAX.PRFT.CP.ZS,Spain,ESP,..,..,..,..,..,..,..,..,..,..,..,..,..,1.2,21.9,13.3
Profit tax (% of commercial profits),IC.TAX.PRFT.CP.ZS,Sweden,SWE,..,..,..,..,..,..,..,..,..,..,..,..,..,15.7,13.4,13.1
Profit tax (% of commercial profits),IC.TAX.PRFT.CP.ZS,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..,..,..,..,22.2,20.9,19.2
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,
Last Updated: 10/14/2016,,,,,,,,,,,,,,,,,,,
