Date,Value,Country
2002,25.01,Austria
2003,28.1,Austria
2004,36.05,Austria
2005,50.64,Austria
2006,61.08,Austria
2007,69.08,Austria
2008,94.45,Austria
2009,61.06,Austria
2010,77.45,Austria
2011,107.46,Austria
2012,109.45,Austria
2013,105.87,Austria
2014,96.29,Austria
2015,49.49,Austria
2002,25.01,Belgium
2003,28.1,Belgium
2004,36.05,Belgium
2005,50.64,Belgium
2006,61.08,Belgium
2007,69.08,Belgium
2008,94.45,Belgium
2009,61.06,Belgium
2010,77.45,Belgium
2011,107.46,Belgium
2012,109.45,Belgium
2013,105.87,Belgium
2014,96.29,Belgium
2015,49.49,Belgium
2002,25.01,Bulgaria
2003,28.1,Bulgaria
2004,36.05,Bulgaria
2005,50.64,Bulgaria
2006,61.08,Bulgaria
2007,69.08,Bulgaria
2008,94.45,Bulgaria
2009,61.06,Bulgaria
2010,77.45,Bulgaria
2011,107.46,Bulgaria
2012,109.45,Bulgaria
2013,105.87,Bulgaria
2014,96.29,Bulgaria
2015,49.49,Bulgaria
2002,25.01,Croatia
2003,28.1,Croatia
2004,36.05,Croatia
2005,50.64,Croatia
2006,61.08,Croatia
2007,69.08,Croatia
2008,94.45,Croatia
2009,61.06,Croatia
2010,77.45,Croatia
2011,107.46,Croatia
2012,109.45,Croatia
2013,105.87,Croatia
2014,96.29,Croatia
2015,49.49,Croatia
2002,25.01,Cyprus
2003,28.1,Cyprus
2004,36.05,Cyprus
2005,50.64,Cyprus
2006,61.08,Cyprus
2007,69.08,Cyprus
2008,94.45,Cyprus
2009,61.06,Cyprus
2010,77.45,Cyprus
2011,107.46,Cyprus
2012,109.45,Cyprus
2013,105.87,Cyprus
2014,96.29,Cyprus
2015,49.49,Cyprus
2002,25.01,Czech Republic
2003,28.1,Czech Republic
2004,36.05,Czech Republic
2005,50.64,Czech Republic
2006,61.08,Czech Republic
2007,69.08,Czech Republic
2008,94.45,Czech Republic
2009,61.06,Czech Republic
2010,77.45,Czech Republic
2011,107.46,Czech Republic
2012,109.45,Czech Republic
2013,105.87,Czech Republic
2014,96.29,Czech Republic
2015,49.49,Czech Republic
2002,25.01,Denmark
2003,28.1,Denmark
2004,36.05,Denmark
2005,50.64,Denmark
2006,61.08,Denmark
2007,69.08,Denmark
2008,94.45,Denmark
2009,61.06,Denmark
2010,77.45,Denmark
2011,107.46,Denmark
2012,109.45,Denmark
2013,105.87,Denmark
2014,96.29,Denmark
2015,49.49,Denmark
2002,25.01,Estonia
2003,28.1,Estonia
2004,36.05,Estonia
2005,50.64,Estonia
2006,61.08,Estonia
2007,69.08,Estonia
2008,94.45,Estonia
2009,61.06,Estonia
2010,77.45,Estonia
2011,107.46,Estonia
2012,109.45,Estonia
2013,105.87,Estonia
2014,96.29,Estonia
2015,49.49,Estonia
2002,25.01,Finland
2003,28.1,Finland
2004,36.05,Finland
2005,50.64,Finland
2006,61.08,Finland
2007,69.08,Finland
2008,94.45,Finland
2009,61.06,Finland
2010,77.45,Finland
2011,107.46,Finland
2012,109.45,Finland
2013,105.87,Finland
2014,96.29,Finland
2015,49.49,Finland
2002,25.01,France
2003,28.1,France
2004,36.05,France
2005,50.64,France
2006,61.08,France
2007,69.08,France
2008,94.45,France
2009,61.06,France
2010,77.45,France
2011,107.46,France
2012,109.45,France
2013,105.87,France
2014,96.29,France
2015,49.49,France
2002,25.01,Germany
2003,28.1,Germany
2004,36.05,Germany
2005,50.64,Germany
2006,61.08,Germany
2007,69.08,Germany
2008,94.45,Germany
2009,61.06,Germany
2010,77.45,Germany
2011,107.46,Germany
2012,109.45,Germany
2013,105.87,Germany
2014,96.29,Germany
2015,49.49,Germany
2002,25.01,Greece
2003,28.1,Greece
2004,36.05,Greece
2005,50.64,Greece
2006,61.08,Greece
2007,69.08,Greece
2008,94.45,Greece
2009,61.06,Greece
2010,77.45,Greece
2011,107.46,Greece
2012,109.45,Greece
2013,105.87,Greece
2014,96.29,Greece
2015,49.49,Greece
2002,25.01,Hungary
2003,28.1,Hungary
2004,36.05,Hungary
2005,50.64,Hungary
2006,61.08,Hungary
2007,69.08,Hungary
2008,94.45,Hungary
2009,61.06,Hungary
2010,77.45,Hungary
2011,107.46,Hungary
2012,109.45,Hungary
2013,105.87,Hungary
2014,96.29,Hungary
2015,49.49,Hungary
2002,25.01,Ireland
2003,28.1,Ireland
2004,36.05,Ireland
2005,50.64,Ireland
2006,61.08,Ireland
2007,69.08,Ireland
2008,94.45,Ireland
2009,61.06,Ireland
2010,77.45,Ireland
2011,107.46,Ireland
2012,109.45,Ireland
2013,105.87,Ireland
2014,96.29,Ireland
2015,49.49,Ireland
2002,25.01,Italy
2003,28.1,Italy
2004,36.05,Italy
2005,50.64,Italy
2006,61.08,Italy
2007,69.08,Italy
2008,94.45,Italy
2009,61.06,Italy
2010,77.45,Italy
2011,107.46,Italy
2012,109.45,Italy
2013,105.87,Italy
2014,96.29,Italy
2015,49.49,Italy
2002,25.01,Latvia
2003,28.1,Latvia
2004,36.05,Latvia
2005,50.64,Latvia
2006,61.08,Latvia
2007,69.08,Latvia
2008,94.45,Latvia
2009,61.06,Latvia
2010,77.45,Latvia
2011,107.46,Latvia
2012,109.45,Latvia
2013,105.87,Latvia
2014,96.29,Latvia
2015,49.49,Latvia
2002,25.01,Lithuania
2003,28.1,Lithuania
2004,36.05,Lithuania
2005,50.64,Lithuania
2006,61.08,Lithuania
2007,69.08,Lithuania
2008,94.45,Lithuania
2009,61.06,Lithuania
2010,77.45,Lithuania
2011,107.46,Lithuania
2012,109.45,Lithuania
2013,105.87,Lithuania
2014,96.29,Lithuania
2015,49.49,Lithuania
2002,25.01,Luxembourg
2003,28.1,Luxembourg
2004,36.05,Luxembourg
2005,50.64,Luxembourg
2006,61.08,Luxembourg
2007,69.08,Luxembourg
2008,94.45,Luxembourg
2009,61.06,Luxembourg
2010,77.45,Luxembourg
2011,107.46,Luxembourg
2012,109.45,Luxembourg
2013,105.87,Luxembourg
2014,96.29,Luxembourg
2015,49.49,Luxembourg
2002,25.01,Malta
2003,28.1,Malta
2004,36.05,Malta
2005,50.64,Malta
2006,61.08,Malta
2007,69.08,Malta
2008,94.45,Malta
2009,61.06,Malta
2010,77.45,Malta
2011,107.46,Malta
2012,109.45,Malta
2013,105.87,Malta
2014,96.29,Malta
2015,49.49,Malta
2002,25.01,Netherlands
2003,28.1,Netherlands
2004,36.05,Netherlands
2005,50.64,Netherlands
2006,61.08,Netherlands
2007,69.08,Netherlands
2008,94.45,Netherlands
2009,61.06,Netherlands
2010,77.45,Netherlands
2011,107.46,Netherlands
2012,109.45,Netherlands
2013,105.87,Netherlands
2014,96.29,Netherlands
2015,49.49,Netherlands
2002,25.01,Poland
2003,28.1,Poland
2004,36.05,Poland
2005,50.64,Poland
2006,61.08,Poland
2007,69.08,Poland
2008,94.45,Poland
2009,61.06,Poland
2010,77.45,Poland
2011,107.46,Poland
2012,109.45,Poland
2013,105.87,Poland
2014,96.29,Poland
2015,49.49,Poland
2002,25.01,Portugal
2003,28.1,Portugal
2004,36.05,Portugal
2005,50.64,Portugal
2006,61.08,Portugal
2007,69.08,Portugal
2008,94.45,Portugal
2009,61.06,Portugal
2010,77.45,Portugal
2011,107.46,Portugal
2012,109.45,Portugal
2013,105.87,Portugal
2014,96.29,Portugal
2015,49.49,Portugal
2002,25.01,Romania
2003,28.1,Romania
2004,36.05,Romania
2005,50.64,Romania
2006,61.08,Romania
2007,69.08,Romania
2008,94.45,Romania
2009,61.06,Romania
2010,77.45,Romania
2011,107.46,Romania
2012,109.45,Romania
2013,105.87,Romania
2014,96.29,Romania
2015,49.49,Romania
2002,25.01,Slovakia
2003,28.1,Slovakia
2004,36.05,Slovakia
2005,50.64,Slovakia
2006,61.08,Slovakia
2007,69.08,Slovakia
2008,94.45,Slovakia
2009,61.06,Slovakia
2010,77.45,Slovakia
2011,107.46,Slovakia
2012,109.45,Slovakia
2013,105.87,Slovakia
2014,96.29,Slovakia
2015,49.49,Slovakia
2002,25.01,Slovenia
2003,28.1,Slovenia
2004,36.05,Slovenia
2005,50.64,Slovenia
2006,61.08,Slovenia
2007,69.08,Slovenia
2008,94.45,Slovenia
2009,61.06,Slovenia
2010,77.45,Slovenia
2011,107.46,Slovenia
2012,109.45,Slovenia
2013,105.87,Slovenia
2014,96.29,Slovenia
2015,49.49,Slovenia
2002,25.01,Spain
2003,28.1,Spain
2004,36.05,Spain
2005,50.64,Spain
2006,61.08,Spain
2007,69.08,Spain
2008,94.45,Spain
2009,61.06,Spain
2010,77.45,Spain
2011,107.46,Spain
2012,109.45,Spain
2013,105.87,Spain
2014,96.29,Spain
2015,49.49,Spain
2002,25.01,Sweden
2003,28.1,Sweden
2004,36.05,Sweden
2005,50.64,Sweden
2006,61.08,Sweden
2007,69.08,Sweden
2008,94.45,Sweden
2009,61.06,Sweden
2010,77.45,Sweden
2011,107.46,Sweden
2012,109.45,Sweden
2013,105.87,Sweden
2014,96.29,Sweden
2015,49.49,Sweden
2002,25.01,United Kingdom
2003,28.1,United Kingdom
2004,36.05,United Kingdom
2005,50.64,United Kingdom
