TIME,GEO,INTRT,Value
2000,Austria,EMU convergence criterion bond yields,5.556666667
2001,Austria,EMU convergence criterion bond yields,5.079166667
2002,Austria,EMU convergence criterion bond yields,4.964166667
2008,Austria,EMU convergence criterion bond yields,4.358333333
2007,Austria,EMU convergence criterion bond yields,4.2975
2003,Austria,EMU convergence criterion bond yields,4.140833333
2004,Austria,EMU convergence criterion bond yields,4.130833333
2009,Austria,EMU convergence criterion bond yields,3.936666667
2006,Austria,EMU convergence criterion bond yields,3.8
2005,Austria,EMU convergence criterion bond yields,3.394166667
2011,Austria,EMU convergence criterion bond yields,3.319166667
2010,Austria,EMU convergence criterion bond yields,3.225833333
2012,Austria,EMU convergence criterion bond yields,2.3725
2013,Austria,EMU convergence criterion bond yields,2.01
2014,Austria,EMU convergence criterion bond yields,1.4875
2015,Austria,EMU convergence criterion bond yields,0.745833333
2000,Belgium,EMU convergence criterion bond yields,5.5925
2001,Belgium,EMU convergence criterion bond yields,5.130833333
2002,Belgium,EMU convergence criterion bond yields,4.986666667
2008,Belgium,EMU convergence criterion bond yields,4.4175
2007,Belgium,EMU convergence criterion bond yields,4.328333333
2011,Belgium,EMU convergence criterion bond yields,4.233333333
2003,Belgium,EMU convergence criterion bond yields,4.180833333
2004,Belgium,EMU convergence criterion bond yields,4.1525
2009,Belgium,EMU convergence criterion bond yields,3.901666667
2006,Belgium,EMU convergence criterion bond yields,3.815
2010,Belgium,EMU convergence criterion bond yields,3.4625
2005,Belgium,EMU convergence criterion bond yields,3.428333333
2012,Belgium,EMU convergence criterion bond yields,3
2013,Belgium,EMU convergence criterion bond yields,2.41
2014,Belgium,EMU convergence criterion bond yields,1.713333333
2015,Belgium,EMU convergence criterion bond yields,0.84
2009,Bulgaria,EMU convergence criterion bond yields,7.215
2003,Bulgaria,EMU convergence criterion bond yields,6.446666667
2010,Bulgaria,EMU convergence criterion bond yields,6.005
2008,Bulgaria,EMU convergence criterion bond yields,5.376666667
2004,Bulgaria,EMU convergence criterion bond yields,5.36
2011,Bulgaria,EMU convergence criterion bond yields,5.356666667
2007,Bulgaria,EMU convergence criterion bond yields,4.539166667
2012,Bulgaria,EMU convergence criterion bond yields,4.4975
2006,Bulgaria,EMU convergence criterion bond yields,4.183333333
2005,Bulgaria,EMU convergence criterion bond yields,3.874166667
2013,Bulgaria,EMU convergence criterion bond yields,3.473333333
2014,Bulgaria,EMU convergence criterion bond yields,3.3475
2015,Bulgaria,EMU convergence criterion bond yields,2.491666667
2000,Bulgaria,EMU convergence criterion bond yields,
2001,Bulgaria,EMU convergence criterion bond yields,
2002,Bulgaria,EMU convergence criterion bond yields,
2009,Croatia,EMU convergence criterion bond yields,7.8325
2011,Croatia,EMU convergence criterion bond yields,6.539166667
2010,Croatia,EMU convergence criterion bond yields,6.285
2012,Croatia,EMU convergence criterion bond yields,6.129166667
2008,Croatia,EMU convergence criterion bond yields,6.041666667
2007,Croatia,EMU convergence criterion bond yields,4.933333333
2013,Croatia,EMU convergence criterion bond yields,4.680833333
2006,Croatia,EMU convergence criterion bond yields,4.430833333
2005,Croatia,EMU convergence criterion bond yields,4.42
2014,Croatia,EMU convergence criterion bond yields,4.050833333
2015,Croatia,EMU convergence criterion bond yields,3.550833333
2000,Croatia,EMU convergence criterion bond yields,
2001,Croatia,EMU convergence criterion bond yields,
2002,Croatia,EMU convergence criterion bond yields,
2003,Croatia,EMU convergence criterion bond yields,
2004,Croatia,EMU convergence criterion bond yields,
2001,Cyprus,EMU convergence criterion bond yields,7.625
2012,Cyprus,EMU convergence criterion bond yields,7
2013,Cyprus,EMU convergence criterion bond yields,6.5
2014,Cyprus,EMU convergence criterion bond yields,6
2004,Cyprus,EMU convergence criterion bond yields,5.7975
2011,Cyprus,EMU convergence criterion bond yields,5.7875
2002,Cyprus,EMU convergence criterion bond yields,5.696666667
2005,Cyprus,EMU convergence criterion bond yields,5.161666667
2003,Cyprus,EMU convergence criterion bond yields,4.743333333
2008,Cyprus,EMU convergence criterion bond yields,4.6
2009,Cyprus,EMU convergence criterion bond yields,4.6
2010,Cyprus,EMU convergence criterion bond yields,4.6
2015,Cyprus,EMU convergence criterion bond yields,4.536666667
2007,Cyprus,EMU convergence criterion bond yields,4.475
2006,Cyprus,EMU convergence criterion bond yields,4.134166667
2000,Cyprus,EMU convergence criterion bond yields,
2000,Czech Republic,EMU convergence criterion bond yields,6.934444444
2001,Czech Republic,EMU convergence criterion bond yields,6.314166667
2002,Czech Republic,EMU convergence criterion bond yields,4.876666667
2009,Czech Republic,EMU convergence criterion bond yields,4.8375
2004,Czech Republic,EMU convergence criterion bond yields,4.820833333
2008,Czech Republic,EMU convergence criterion bond yields,4.633333333
2007,Czech Republic,EMU convergence criterion bond yields,4.3025
2003,Czech Republic,EMU convergence criterion bond yields,4.115833333
2010,Czech Republic,EMU convergence criterion bond yields,3.884166667
2006,Czech Republic,EMU convergence criterion bond yields,3.8
2011,Czech Republic,EMU convergence criterion bond yields,3.7075
2005,Czech Republic,EMU convergence criterion bond yields,3.5425
2012,Czech Republic,EMU convergence criterion bond yields,2.781666667
2013,Czech Republic,EMU convergence criterion bond yields,2.111666667
2014,Czech Republic,EMU convergence criterion bond yields,1.575833333
2015,Czech Republic,EMU convergence criterion bond yields,0.575
2000,Denmark,EMU convergence criterion bond yields,5.641666667
2001,Denmark,EMU convergence criterion bond yields,5.080833333
2002,Denmark,EMU convergence criterion bond yields,5.056666667
2003,Denmark,EMU convergence criterion bond yields,4.308333333
2004,Denmark,EMU convergence criterion bond yields,4.305
2007,Denmark,EMU convergence criterion bond yields,4.286666667
2008,Denmark,EMU convergence criterion bond yields,4.285833333
2006,Denmark,EMU convergence criterion bond yields,3.811666667
2009,Denmark,EMU convergence criterion bond yields,3.5875
2005,Denmark,EMU convergence criterion bond yields,3.405
2010,Denmark,EMU convergence criterion bond yields,2.9275
2011,Denmark,EMU convergence criterion bond yields,2.73
2013,Denmark,EMU convergence criterion bond yields,1.745833333
2012,Denmark,EMU convergence criterion bond yields,1.403333333
2014,Denmark,EMU convergence criterion bond yields,1.326666667
2015,Denmark,EMU convergence criterion bond yields,0.690833333
2000,Estonia,EMU convergence criterion bond yields,
2001,Estonia,EMU convergence criterion bond yields,
2002,Estonia,EMU convergence criterion bond yields,
2003,Estonia,EMU convergence criterion bond yields,
2004,Estonia,EMU convergence criterion bond yields,
2005,Estonia,EMU convergence criterion bond yields,
2006,Estonia,EMU convergence criterion bond yields,
2007,Estonia,EMU convergence criterion bond yields,
2008,Estonia,EMU convergence criterion bond yields,
2009,Estonia,EMU convergence criterion bond yields,
2010,Estonia,EMU convergence criterion bond yields,
2011,Estonia,EMU convergence criterion bond yields,
2012,Estonia,EMU convergence criterion bond yields,
2013,Estonia,EMU convergence criterion bond yields,
2014,Estonia,EMU convergence criterion bond yields,
2015,Estonia,EMU convergence criterion bond yields,
2000,Finland,EMU convergence criterion bond yields,5.483333333
2001,Finland,EMU convergence criterion bond yields,5.043333333
2002,Finland,EMU convergence criterion bond yields,4.980833333
2007,Finland,EMU convergence criterion bond yields,4.293333333
2008,Finland,EMU convergence criterion bond yields,4.29
2003,Finland,EMU convergence criterion bond yields,4.134166667
2004,Finland,EMU convergence criterion bond yields,4.11
2006,Finland,EMU convergence criterion bond yields,3.783333333
2009,Finland,EMU convergence criterion bond yields,3.738333333
2005,Finland,EMU convergence criterion bond yields,3.351666667
2010,Finland,EMU convergence criterion bond yields,3.010833333
2011,Finland,EMU convergence criterion bond yields,3.005833333
2012,Finland,EMU convergence criterion bond yields,1.885833333
2013,Finland,EMU convergence criterion bond yields,1.861666667
2014,Finland,EMU convergence criterion bond yields,1.449166667
2015,Finland,EMU convergence criterion bond yields,0.72
2000,France,EMU convergence criterion bond yields,5.394166667
2001,France,EMU convergence criterion bond yields,4.939166667
2002,France,EMU convergence criterion bond yields,4.86
2007,France,EMU convergence criterion bond yields,4.304166667
2008,France,EMU convergence criterion bond yields,4.234166667
2003,France,EMU convergence criterion bond yields,4.13
2004,France,EMU convergence criterion bond yields,4.098333333
2006,France,EMU convergence criterion bond yields,3.796666667
2009,France,EMU convergence criterion bond yields,3.65
2005,France,EMU convergence criterion bond yields,3.41
2011,France,EMU convergence criterion bond yields,3.32
2010,France,EMU convergence criterion bond yields,3.118333333
2012,France,EMU convergence criterion bond yields,2.536666667
2013,France,EMU convergence criterion bond yields,2.204166667
2014,France,EMU convergence criterion bond yields,1.666666667
2015,France,EMU convergence criterion bond yields,0.8425
2000,Germany (until 1990 former territory of the FRG),EMU convergence criterion bond yields,5.263333333
2001,Germany (until 1990 former territory of the FRG),EMU convergence criterion bond yields,4.7975
2002,Germany (until 1990 former territory of the FRG),EMU convergence criterion bond yields,4.7825
2007,Germany (until 1990 former territory of the FRG),EMU convergence criterion bond yields,4.216666667
2003,Germany (until 1990 former territory of the FRG),EMU convergence criterion bond yields,4.070833333
2004,Germany (until 1990 former territory of the FRG),EMU convergence criterion bond yields,4.036666667
2008,Germany (until 1990 former territory of the FRG),EMU convergence criterion bond yields,3.984166667
2006,Germany (until 1990 former territory of the FRG),EMU convergence criterion bond yields,3.7625
2005,Germany (until 1990 former territory of the FRG),EMU convergence criterion bond yields,3.353333333
2009,Germany (until 1990 former territory of the FRG),EMU convergence criterion bond yields,3.2225
2010,Germany (until 1990 former territory of the FRG),EMU convergence criterion bond yields,2.743333333
2011,Germany (until 1990 former territory of the FRG),EMU convergence criterion bond yields,2.608333333
2013,Germany (until 1990 former territory of the FRG),EMU convergence criterion bond yields,1.57
2012,Germany (until 1990 former territory of the FRG),EMU convergence criterion bond yields,1.495
2014,Germany (until 1990 former territory of the FRG),EMU convergence criterion bond yields,1.163333333
2015,Germany (until 1990 former territory of the FRG),EMU convergence criterion bond yields,0.495833333
2012,Greece,EMU convergence criterion bond yields,22.49833333
2011,Greece,EMU convergence criterion bond yields,15.74916667
2013,Greece,EMU convergence criterion bond yields,10.05416667
2015,Greece,EMU convergence criterion bond yields,9.666363636
2010,Greece,EMU convergence criterion bond yields,9.091666667
2014,Greece,EMU convergence criterion bond yields,6.929166667
2000,Greece,EMU convergence criterion bond yields,6.1
2001,Greece,EMU convergence criterion bond yields,5.303333333
2009,Greece,EMU convergence criterion bond yields,5.174166667
2002,Greece,EMU convergence criterion bond yields,5.1225
2008,Greece,EMU convergence criterion bond yields,4.8025
2007,Greece,EMU convergence criterion bond yields,4.5
2003,Greece,EMU convergence criterion bond yields,4.2675
2004,Greece,EMU convergence criterion bond yields,4.255833333
2006,Greece,EMU convergence criterion bond yields,4.07
2005,Greece,EMU convergence criterion bond yields,3.585
2009,Hungary,EMU convergence criterion bond yields,9.123333333
2008,Hungary,EMU convergence criterion bond yields,8.238333333
2004,Hungary,EMU convergence criterion bond yields,8.189166667
2001,Hungary,EMU convergence criterion bond yields,7.945
2012,Hungary,EMU convergence criterion bond yields,7.890833333
2011,Hungary,EMU convergence criterion bond yields,7.635
2010,Hungary,EMU convergence criterion bond yields,7.281666667
2006,Hungary,EMU convergence criterion bond yields,7.115833333
