"TIME","GEO","INTRT","Value","Flag and Footnotes"
"2000M01","Belgium","EMU convergence criterion bond yields","5.79",""
"2000M02","Belgium","EMU convergence criterion bond yields","5.79",""
"2000M03","Belgium","EMU convergence criterion bond yields","5.62",""
"2000M04","Belgium","EMU convergence criterion bond yields","5.52",""
"2000M05","Belgium","EMU convergence criterion bond yields","5.69",""
"2000M06","Belgium","EMU convergence criterion bond yields","5.53",""
"2000M07","Belgium","EMU convergence criterion bond yields","5.60",""
"2000M08","Belgium","EMU convergence criterion bond yields","5.56",""
"2000M09","Belgium","EMU convergence criterion bond yields","5.63",""
"2000M10","Belgium","EMU convergence criterion bond yields","5.58",""
"2000M11","Belgium","EMU convergence criterion bond yields","5.52",""
"2000M12","Belgium","EMU convergence criterion bond yields","5.28",""
"2001M01","Belgium","EMU convergence criterion bond yields","5.16",""
"2001M02","Belgium","EMU convergence criterion bond yields","5.16",""
"2001M03","Belgium","EMU convergence criterion bond yields","5.08",""
"2001M04","Belgium","EMU convergence criterion bond yields","5.21",""
"2001M05","Belgium","EMU convergence criterion bond yields","5.38",""
"2001M06","Belgium","EMU convergence criterion bond yields","5.33",""
"2001M07","Belgium","EMU convergence criterion bond yields","5.35",""
"2001M08","Belgium","EMU convergence criterion bond yields","5.15",""
"2001M09","Belgium","EMU convergence criterion bond yields","5.14",""
"2001M10","Belgium","EMU convergence criterion bond yields","4.89",""
"2001M11","Belgium","EMU convergence criterion bond yields","4.75",""
"2001M12","Belgium","EMU convergence criterion bond yields","4.97",""
"2002M01","Belgium","EMU convergence criterion bond yields","5.08",""
"2002M02","Belgium","EMU convergence criterion bond yields","5.15",""
"2002M03","Belgium","EMU convergence criterion bond yields","5.37",""
"2002M04","Belgium","EMU convergence criterion bond yields","5.37",""
"2002M05","Belgium","EMU convergence criterion bond yields","5.38",""
"2002M06","Belgium","EMU convergence criterion bond yields","5.24",""
"2002M07","Belgium","EMU convergence criterion bond yields","5.09",""
"2002M08","Belgium","EMU convergence criterion bond yields","4.80",""
"2002M09","Belgium","EMU convergence criterion bond yields","4.60",""
"2002M10","Belgium","EMU convergence criterion bond yields","4.66",""
"2002M11","Belgium","EMU convergence criterion bond yields","4.64",""
"2002M12","Belgium","EMU convergence criterion bond yields","4.46",""
"2003M01","Belgium","EMU convergence criterion bond yields","4.28",""
"2003M02","Belgium","EMU convergence criterion bond yields","4.11",""
"2003M03","Belgium","EMU convergence criterion bond yields","4.15",""
"2003M04","Belgium","EMU convergence criterion bond yields","4.29",""
"2003M05","Belgium","EMU convergence criterion bond yields","3.95",""
"2003M06","Belgium","EMU convergence criterion bond yields","3.74",""
"2003M07","Belgium","EMU convergence criterion bond yields","4.06",""
"2003M08","Belgium","EMU convergence criterion bond yields","4.22",""
"2003M09","Belgium","EMU convergence criterion bond yields","4.25",""
"2003M10","Belgium","EMU convergence criterion bond yields","4.31",""
"2003M11","Belgium","EMU convergence criterion bond yields","4.43",""
"2003M12","Belgium","EMU convergence criterion bond yields","4.38",""
"2004M01","Belgium","EMU convergence criterion bond yields","4.26",""
"2004M02","Belgium","EMU convergence criterion bond yields","4.26",""
"2004M03","Belgium","EMU convergence criterion bond yields","4.07",""
"2004M04","Belgium","EMU convergence criterion bond yields","4.26",""
"2004M05","Belgium","EMU convergence criterion bond yields","4.40",""
"2004M06","Belgium","EMU convergence criterion bond yields","4.46",""
"2004M07","Belgium","EMU convergence criterion bond yields","4.34",""
"2004M08","Belgium","EMU convergence criterion bond yields","4.18",""
"2004M09","Belgium","EMU convergence criterion bond yields","4.11",""
"2004M10","Belgium","EMU convergence criterion bond yields","3.98",""
"2004M11","Belgium","EMU convergence criterion bond yields","3.85",""
"2004M12","Belgium","EMU convergence criterion bond yields","3.66",""
"2005M01","Belgium","EMU convergence criterion bond yields","3.59",""
"2005M02","Belgium","EMU convergence criterion bond yields","3.57",""
"2005M03","Belgium","EMU convergence criterion bond yields","3.76",""
"2005M04","Belgium","EMU convergence criterion bond yields","3.60",""
"2005M05","Belgium","EMU convergence criterion bond yields","3.43",""
"2005M06","Belgium","EMU convergence criterion bond yields","3.26",""
"2005M07","Belgium","EMU convergence criterion bond yields","3.30",""
"2005M08","Belgium","EMU convergence criterion bond yields","3.31",""
"2005M09","Belgium","EMU convergence criterion bond yields","3.14",""
"2005M10","Belgium","EMU convergence criterion bond yields","3.30",""
"2005M11","Belgium","EMU convergence criterion bond yields","3.49",""
"2005M12","Belgium","EMU convergence criterion bond yields","3.39",""
"2006M01","Belgium","EMU convergence criterion bond yields","3.37",""
"2006M02","Belgium","EMU convergence criterion bond yields","3.54",""
"2006M03","Belgium","EMU convergence criterion bond yields","3.70",""
"2006M04","Belgium","EMU convergence criterion bond yields","3.96",""
"2006M05","Belgium","EMU convergence criterion bond yields","4.03",""
"2006M06","Belgium","EMU convergence criterion bond yields","4.02",""
"2006M07","Belgium","EMU convergence criterion bond yields","4.04",""
"2006M08","Belgium","EMU convergence criterion bond yields","3.92",""
"2006M09","Belgium","EMU convergence criterion bond yields","3.79",""
"2006M10","Belgium","EMU convergence criterion bond yields","3.83",""
"2006M11","Belgium","EMU convergence criterion bond yields","3.76",""
"2006M12","Belgium","EMU convergence criterion bond yields","3.82",""
"2007M01","Belgium","EMU convergence criterion bond yields","4.06",""
"2007M02","Belgium","EMU convergence criterion bond yields","4.11",""
"2007M03","Belgium","EMU convergence criterion bond yields","4.01",""
"2007M04","Belgium","EMU convergence criterion bond yields","4.22",""
"2007M05","Belgium","EMU convergence criterion bond yields","4.34",""
"2007M06","Belgium","EMU convergence criterion bond yields","4.64",""
"2007M07","Belgium","EMU convergence criterion bond yields","4.62",""
"2007M08","Belgium","EMU convergence criterion bond yields","4.44",""
"2007M09","Belgium","EMU convergence criterion bond yields","4.39",""
"2007M10","Belgium","EMU convergence criterion bond yields","4.42",""
"2007M11","Belgium","EMU convergence criterion bond yields","4.28",""
"2007M12","Belgium","EMU convergence criterion bond yields","4.41",""
"2008M01","Belgium","EMU convergence criterion bond yields","4.25",""
"2008M02","Belgium","EMU convergence criterion bond yields","4.23",""
"2008M03","Belgium","EMU convergence criterion bond yields","4.23",""
"2008M04","Belgium","EMU convergence criterion bond yields","4.37",""
"2008M05","Belgium","EMU convergence criterion bond yields","4.51",""
"2008M06","Belgium","EMU convergence criterion bond yields","4.84",""
"2008M07","Belgium","EMU convergence criterion bond yields","4.85",""
"2008M08","Belgium","EMU convergence criterion bond yields","4.58",""
"2008M09","Belgium","EMU convergence criterion bond yields","4.56",""
"2008M10","Belgium","EMU convergence criterion bond yields","4.46",""
"2008M11","Belgium","EMU convergence criterion bond yields","4.26",""
"2008M12","Belgium","EMU convergence criterion bond yields","3.87",""
"2009M01","Belgium","EMU convergence criterion bond yields","4.13",""
"2009M02","Belgium","EMU convergence criterion bond yields","4.24",""
"2009M03","Belgium","EMU convergence criterion bond yields","4.03",""
"2009M04","Belgium","EMU convergence criterion bond yields","3.93",""
"2009M05","Belgium","EMU convergence criterion bond yields","4.03",""
