"TIME","GEO","UNIT","PRODUCT","INDIC_NRG","Value","Flag and Footnotes"
"2005","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","0",""
"2006","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","0",""
"2007","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","0",""
"2008","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","8",""
"2009","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","8",""
"2010","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","4",""
"2011","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","4",""
"2012","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","4",""
"2013","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","4",""
"2014","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","4",""
"2005","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","0",""
"2006","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","0",""
"2007","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","0",""
"2008","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","0",""
"2009","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","3",""
"2010","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","15",""
"2011","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","101",""
"2012","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","814",""
