"TIME","GEO","UNIT","PRODUCT","INDIC_NRG","Value","Flag and Footnotes"
"2005","European Union (28 countries)","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","239,431.8",""
"2005","European Union (28 countries)","Gigawatt-hour","Electrical energy","Energy Available for Final Consumption","2,784,591",""
"2005","European Union (28 countries)","Terajoule","Electrical energy","Energy Available for Final Consumption","10,024,529",""
"2005","Euro area (19 countries)","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","171,929.1",""
"2005","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Energy Available for Final Consumption","1,999,536",""
"2005","Euro area (19 countries)","Terajoule","Electrical energy","Energy Available for Final Consumption","7,198,328",""
"2005","Belgium","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","6,907.6",""
"2005","Belgium","Gigawatt-hour","Electrical energy","Energy Available for Final Consumption","80,335",""
"2005","Belgium","Terajoule","Electrical energy","Energy Available for Final Consumption","289,207",""
"2005","Bulgaria","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","2,211.4",""
"2005","Bulgaria","Gigawatt-hour","Electrical energy","Energy Available for Final Consumption","25,719",""
"2005","Bulgaria","Terajoule","Electrical energy","Energy Available for Final Consumption","92,588",""
"2005","Czech Republic","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","4,754.2",""
"2005","Czech Republic","Gigawatt-hour","Electrical energy","Energy Available for Final Consumption","55,291",""
"2005","Czech Republic","Terajoule","Electrical energy","Energy Available for Final Consumption","199,049",""
"2005","Denmark","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","2,877.8",""
"2005","Denmark","Gigawatt-hour","Electrical energy","Energy Available for Final Consumption","33,469",""
"2005","Denmark","Terajoule","Electrical energy","Energy Available for Final Consumption","120,489",""
"2005","Germany (until 1990 former territory of the FRG)","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","44,906.6",""
"2005","Germany (until 1990 former territory of the FRG)","Gigawatt-hour","Electrical energy","Energy Available for Final Consumption","522,264",""
"2005","Germany (until 1990 former territory of the FRG)","Terajoule","Electrical energy","Energy Available for Final Consumption","1,880,151",""
"2005","Estonia","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","519.3",""
"2005","Estonia","Gigawatt-hour","Electrical energy","Energy Available for Final Consumption","6,040",""
"2005","Estonia","Terajoule","Electrical energy","Energy Available for Final Consumption","21,744",""
"2005","Ireland","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","2,071.6",""
"2005","Ireland","Gigawatt-hour","Electrical energy","Energy Available for Final Consumption","24,093",""
"2005","Ireland","Terajoule","Electrical energy","Energy Available for Final Consumption","86,735",""
"2005","Greece","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","4,377.0",""
"2005","Greece","Gigawatt-hour","Electrical energy","Energy Available for Final Consumption","50,904",""
