"TIME","GEO","UNIT","INDIC_EN","Value"
"2005","European Union (28 countries)","Percentage","Share of renewable energy in gross final energy consumption","9.0"
"2005","European Union (28 countries)","Percentage","Share of renewable energy in transport","1.4"
"2005","European Union (28 countries)","Percentage","Share of renewable energy in electricity","14.9"
"2005","European Union (28 countries)","Percentage","Share of renewable energy in heating and cooling","10.8"
"2005","Belgium","Percentage","Share of renewable energy in gross final energy consumption","2.3"
"2005","Belgium","Percentage","Share of renewable energy in transport","0.2"
"2005","Belgium","Percentage","Share of renewable energy in electricity","2.4"
"2005","Belgium","Percentage","Share of renewable energy in heating and cooling","3.4"
"2005","Bulgaria","Percentage","Share of renewable energy in gross final energy consumption","9.4"
"2005","Bulgaria","Percentage","Share of renewable energy in transport","0.3"
"2005","Bulgaria","Percentage","Share of renewable energy in electricity","9.3"
"2005","Bulgaria","Percentage","Share of renewable energy in heating and cooling","14.3"
"2005","Czech Republic","Percentage","Share of renewable energy in gross final energy consumption","6.0"
"2005","Czech Republic","Percentage","Share of renewable energy in transport","0.5"
"2005","Czech Republic","Percentage","Share of renewable energy in electricity","3.7"
"2005","Czech Republic","Percentage","Share of renewable energy in heating and cooling","9.1"
"2005","Denmark","Percentage","Share of renewable energy in gross final energy consumption","16.0"
"2005","Denmark","Percentage","Share of renewable energy in transport","0.2"
"2005","Denmark","Percentage","Share of renewable energy in electricity","24.6"
"2005","Denmark","Percentage","Share of renewable energy in heating and cooling","22.8"
"2005","Germany (until 1990 former territory of the FRG)","Percentage","Share of renewable energy in gross final energy consumption","6.7"
"2005","Germany (until 1990 former territory of the FRG)","Percentage","Share of renewable energy in transport","3.7"
"2005","Germany (until 1990 former territory of the FRG)","Percentage","Share of renewable energy in electricity","10.5"
"2005","Germany (until 1990 former territory of the FRG)","Percentage","Share of renewable energy in heating and cooling","6.8"
"2005","Estonia","Percentage","Share of renewable energy in gross final energy consumption","17.5"
"2005","Estonia","Percentage","Share of renewable energy in transport","0.2"
"2005","Estonia","Percentage","Share of renewable energy in electricity","1.1"
"2005","Estonia","Percentage","Share of renewable energy in heating and cooling","32.2"
"2005","Ireland","Percentage","Share of renewable energy in gross final energy consumption","2.9"
"2005","Ireland","Percentage","Share of renewable energy in transport","0.0"
"2005","Ireland","Percentage","Share of renewable energy in electricity","7.2"
"2005","Ireland","Percentage","Share of renewable energy in heating and cooling","3.5"
"2005","Greece","Percentage","Share of renewable energy in gross final energy consumption","7.0"
"2005","Greece","Percentage","Share of renewable energy in transport","0.0"
"2005","Greece","Percentage","Share of renewable energy in electricity","8.2"
"2005","Greece","Percentage","Share of renewable energy in heating and cooling","12.8"
"2005","Spain","Percentage","Share of renewable energy in gross final energy consumption","8.4"
"2005","Spain","Percentage","Share of renewable energy in transport","1.0"
"2005","Spain","Percentage","Share of renewable energy in electricity","19.1"
"2005","Spain","Percentage","Share of renewable energy in heating and cooling","9.4"
"2005","France","Percentage","Share of renewable energy in gross final energy consumption","9.6"
"2005","France","Percentage","Share of renewable energy in transport","1.7"
"2005","France","Percentage","Share of renewable energy in electricity","13.7"
"2005","France","Percentage","Share of renewable energy in heating and cooling","12.3"
"2005","Croatia","Percentage","Share of renewable energy in gross final energy consumption","23.8"
"2005","Croatia","Percentage","Share of renewable energy in transport","0.4"
"2005","Croatia","Percentage","Share of renewable energy in electricity","35.8"
"2005","Croatia","Percentage","Share of renewable energy in heating and cooling","30.0"
"2005","Italy","Percentage","Share of renewable energy in gross final energy consumption","7.5"
"2005","Italy","Percentage","Share of renewable energy in transport","0.8"
"2005","Italy","Percentage","Share of renewable energy in electricity","16.3"
"2005","Italy","Percentage","Share of renewable energy in heating and cooling","8.2"
"2005","Cyprus","Percentage","Share of renewable energy in gross final energy consumption","3.1"
"2005","Cyprus","Percentage","Share of renewable energy in transport","0.0"
"2005","Cyprus","Percentage","Share of renewable energy in electricity","0.0"
"2005","Cyprus","Percentage","Share of renewable energy in heating and cooling","10.0"
"2005","Latvia","Percentage","Share of renewable energy in gross final energy consumption","32.3"
"2005","Latvia","Percentage","Share of renewable energy in transport","1.3"
"2005","Latvia","Percentage","Share of renewable energy in electricity","43.0"
