TIME,GEO,UNIT,IPC,Value
2000,Belgium,Number,Technologies or applications for mitigation or adaptation against climate change,14.732
2000,Belgium,Number,"Capture, storage, sequestration or disposal of greenhouse gases",0.182
2000,Belgium,Number,CO2 capture or storage,0.182
2000,Belgium,Number,CO2 capture by biological separation,:
2000,Belgium,Number,CO2 capture by chemical separation,:
2000,Bulgaria,Number,Technologies or applications for mitigation or adaptation against climate change,:
2000,Bulgaria,Number,"Capture, storage, sequestration or disposal of greenhouse gases",:
2000,Bulgaria,Number,CO2 capture or storage,:
2000,Bulgaria,Number,CO2 capture by biological separation,:
2000,Bulgaria,Number,CO2 capture by chemical separation,:
2000,Czech Republic,Number,Technologies or applications for mitigation or adaptation against climate change,:
2000,Czech Republic,Number,"Capture, storage, sequestration or disposal of greenhouse gases",:
2000,Czech Republic,Number,CO2 capture or storage,:
2000,Czech Republic,Number,CO2 capture by biological separation,:
2000,Czech Republic,Number,CO2 capture by chemical separation,:
2000,Denmark,Number,Technologies or applications for mitigation or adaptation against climate change,30.417
2000,Denmark,Number,"Capture, storage, sequestration or disposal of greenhouse gases",:
2000,Denmark,Number,CO2 capture or storage,:
2000,Denmark,Number,CO2 capture by biological separation,:
2000,Denmark,Number,CO2 capture by chemical separation,:
2000,Germany (until 1990 former territory of the FRG),Number,Technologies or applications for mitigation or adaptation against climate change,371.233
2000,Germany (until 1990 former territory of the FRG),Number,"Capture, storage, sequestration or disposal of greenhouse gases",17.15
2000,Germany (until 1990 former territory of the FRG),Number,CO2 capture or storage,9.15
2000,Germany (until 1990 former territory of the FRG),Number,CO2 capture by biological separation,:
2000,Germany (until 1990 former territory of the FRG),Number,CO2 capture by chemical separation,1
2000,Estonia,Number,Technologies or applications for mitigation or adaptation against climate change,0.167
2000,Estonia,Number,"Capture, storage, sequestration or disposal of greenhouse gases",:
2000,Estonia,Number,CO2 capture or storage,:
2000,Estonia,Number,CO2 capture by biological separation,:
2000,Estonia,Number,CO2 capture by chemical separation,:
2000,Ireland,Number,Technologies or applications for mitigation or adaptation against climate change,4.5
2000,Ireland,Number,"Capture, storage, sequestration or disposal of greenhouse gases",:
2000,Ireland,Number,CO2 capture or storage,:
2000,Ireland,Number,CO2 capture by biological separation,:
2000,Ireland,Number,CO2 capture by chemical separation,:
2000,Greece,Number,Technologies or applications for mitigation or adaptation against climate change,2.333
2000,Greece,Number,"Capture, storage, sequestration or disposal of greenhouse gases",:
2000,Greece,Number,CO2 capture or storage,:
2000,Greece,Number,CO2 capture by biological separation,:
2000,Greece,Number,CO2 capture by chemical separation,:
2000,Spain,Number,Technologies or applications for mitigation or adaptation against climate change,11.733
2000,Spain,Number,"Capture, storage, sequestration or disposal of greenhouse gases",1
2000,Spain,Number,CO2 capture or storage,:
2000,Spain,Number,CO2 capture by biological separation,:
2000,Spain,Number,CO2 capture by chemical separation,:
2000,France,Number,Technologies or applications for mitigation or adaptation against climate change,77.633
2000,France,Number,"Capture, storage, sequestration or disposal of greenhouse gases",13.167
2000,France,Number,CO2 capture or storage,9
2000,France,Number,CO2 capture by biological separation,:
2000,France,Number,CO2 capture by chemical separation,2
2000,Croatia,Number,Technologies or applications for mitigation or adaptation against climate change,:
2000,Croatia,Number,"Capture, storage, sequestration or disposal of greenhouse gases",:
2000,Croatia,Number,CO2 capture or storage,:
2000,Croatia,Number,CO2 capture by biological separation,:
2000,Croatia,Number,CO2 capture by chemical separation,:
2000,Italy,Number,Technologies or applications for mitigation or adaptation against climate change,32.75
2000,Italy,Number,"Capture, storage, sequestration or disposal of greenhouse gases",1
2000,Italy,Number,CO2 capture or storage,1
2000,Italy,Number,CO2 capture by biological separation,:
2000,Italy,Number,CO2 capture by chemical separation,:
2000,Cyprus,Number,Technologies or applications for mitigation or adaptation against climate change,:
2000,Cyprus,Number,"Capture, storage, sequestration or disposal of greenhouse gases",:
