GEO,TIME,Value
Austria,2000,18.662
Austria,2001,29.926
Austria,2002,19.773
Austria,2003,36.544
Austria,2004,28.019
Austria,2005,35.66
Austria,2006,43.117
Austria,2007,59.248
Austria,2008,71.386
Austria,2009,122.933
Austria,2010,77.659
Austria,2011,103.093
Austria,2012,110.109
Austria,2013,59.634
Belgium,2000,20.005
Belgium,2001,35.297
Belgium,2002,26.462
Belgium,2003,38.012
Belgium,2004,26.761
Belgium,2005,19.668
Belgium,2006,21.308
Belgium,2007,31.255
Belgium,2008,62.031
Belgium,2009,47.954
Belgium,2010,79.71
Belgium,2011,39.889
Belgium,2012,56.515
Belgium,2013,26.481
Bulgaria,2000,0
Bulgaria,2001,0
Bulgaria,2002,0.238
Bulgaria,2003,0.716
Bulgaria,2004,1.43
Bulgaria,2005,3.203
Bulgaria,2006,0
Bulgaria,2007,0
Bulgaria,2008,1.414
Bulgaria,2009,4.261
Bulgaria,2010,0.476
Bulgaria,2011,2.631
Bulgaria,2012,6.938
Bulgaria,2013,4.446
Croatia,2000,0
Croatia,2001,0
Croatia,2002,0
Croatia,2003,0
Croatia,2004,0
Croatia,2005,0
Croatia,2006,1.787
Croatia,2007,0
Croatia,2008,0
Croatia,2009,0
Croatia,2010,5.265
Croatia,2011,3.528
Croatia,2012,1.771
Croatia,2013,0.889
Cyprus,2000,0
Cyprus,2001,11.076
Cyprus,2002,0
Cyprus,2003,0
Cyprus,2004,0
Cyprus,2005,5.085
Cyprus,2006,6.687
Cyprus,2007,1.215
Cyprus,2008,9.613
Cyprus,2009,4.728
Cyprus,2010,0
Cyprus,2011,4.506
Cyprus,2012,4.45
Cyprus,2013,0
Czech Republic,2000,0
Czech Republic,2001,1.984
Czech Republic,2002,0.185
Czech Republic,2003,1.294
Czech Republic,2004,2.587
Czech Republic,2005,4.736
Czech Republic,2006,6.171
Czech Republic,2007,11.609
Czech Republic,2008,9.443
Czech Republic,2009,7.526
Czech Republic,2010,11.891
Czech Republic,2011,6.649
Czech Republic,2012,8.677
Czech Republic,2013,5.134
Denmark,2000,46.85
Denmark,2001,45.305
Denmark,2002,54.933
Denmark,2003,94.742
Denmark,2004,88.298
Denmark,2005,134.946
Denmark,2006,146.652
Denmark,2007,259.389
Denmark,2008,286.62
Denmark,2009,327.838
Denmark,2010,400.922
